img1,img2,dataset,attack_type
celeba_pairs/125372.jpg,celeba_pairs/127787.jpg,celeba_pairs,dodging_attack
celeba_pairs/109405.jpg,celeba_pairs/118227.jpg,celeba_pairs,dodging_attack
celeba_pairs/024097.jpg,celeba_pairs/028404.jpg,celeba_pairs,dodging_attack
celeba_pairs/168970.jpg,celeba_pairs/169016.jpg,celeba_pairs,dodging_attack
celeba_pairs/138961.jpg,celeba_pairs/140983.jpg,celeba_pairs,dodging_attack
celeba_pairs/047416.jpg,celeba_pairs/049344.jpg,celeba_pairs,dodging_attack
celeba_pairs/176490.jpg,celeba_pairs/177605.jpg,celeba_pairs,dodging_attack
celeba_pairs/079108.jpg,celeba_pairs/091134.jpg,celeba_pairs,dodging_attack
celeba_pairs/026437.jpg,celeba_pairs/029700.jpg,celeba_pairs,dodging_attack
celeba_pairs/012357.jpg,celeba_pairs/045247.jpg,celeba_pairs,dodging_attack
celeba_pairs/165348.jpg,celeba_pairs/166134.jpg,celeba_pairs,dodging_attack
celeba_pairs/097402.jpg,celeba_pairs/098659.jpg,celeba_pairs,dodging_attack
celeba_pairs/036895.jpg,celeba_pairs/038132.jpg,celeba_pairs,dodging_attack
celeba_pairs/163579.jpg,celeba_pairs/164493.jpg,celeba_pairs,dodging_attack
celeba_pairs/165698.jpg,celeba_pairs/166462.jpg,celeba_pairs,dodging_attack
celeba_pairs/168338.jpg,celeba_pairs/168493.jpg,celeba_pairs,dodging_attack
celeba_pairs/090391.jpg,celeba_pairs/092749.jpg,celeba_pairs,dodging_attack
celeba_pairs/122323.jpg,celeba_pairs/122553.jpg,celeba_pairs,dodging_attack
celeba_pairs/182029.jpg,celeba_pairs/182430.jpg,celeba_pairs,dodging_attack
celeba_pairs/121065.jpg,celeba_pairs/124256.jpg,celeba_pairs,dodging_attack
celeba_pairs/164493.jpg,celeba_pairs/164737.jpg,celeba_pairs,dodging_attack
celeba_pairs/012332.jpg,celeba_pairs/020035.jpg,celeba_pairs,dodging_attack
celeba_pairs/166134.jpg,celeba_pairs/168338.jpg,celeba_pairs,dodging_attack
celeba_pairs/151336.jpg,celeba_pairs/158536.jpg,celeba_pairs,dodging_attack
celeba_pairs/072384.jpg,celeba_pairs/072926.jpg,celeba_pairs,dodging_attack
celeba_pairs/098212.jpg,celeba_pairs/104216.jpg,celeba_pairs,dodging_attack
celeba_pairs/125384.jpg,celeba_pairs/126108.jpg,celeba_pairs,dodging_attack
celeba_pairs/144999.jpg,celeba_pairs/148247.jpg,celeba_pairs,dodging_attack
celeba_pairs/020167.jpg,celeba_pairs/024490.jpg,celeba_pairs,dodging_attack
celeba_pairs/102115.jpg,celeba_pairs/112190.jpg,celeba_pairs,dodging_attack
celeba_pairs/006570.jpg,celeba_pairs/011625.jpg,celeba_pairs,dodging_attack
celeba_pairs/090755.jpg,celeba_pairs/102115.jpg,celeba_pairs,dodging_attack
celeba_pairs/158710.jpg,celeba_pairs/159973.jpg,celeba_pairs,dodging_attack
celeba_pairs/013728.jpg,celeba_pairs/017893.jpg,celeba_pairs,dodging_attack
celeba_pairs/088361.jpg,celeba_pairs/100720.jpg,celeba_pairs,dodging_attack
celeba_pairs/070287.jpg,celeba_pairs/079209.jpg,celeba_pairs,dodging_attack
celeba_pairs/126052.jpg,celeba_pairs/132255.jpg,celeba_pairs,dodging_attack
celeba_pairs/141646.jpg,celeba_pairs/142946.jpg,celeba_pairs,dodging_attack
